Id,cuitan,sentimen
201,Jujur Coretax tidak lelet kaya dulu loh.,Positif
203,Hari ini mau coba akses coretax siap-siap aja deh.,Netral
204,Sistem Coretax super cepat resposnya asli keren banget.,Positif
205,"Sistem coretax lumayan membantu, mendingan daripada sistem lama.",Netral
209,sistem coretax lancar banget jaya buat wajib pajak.,Positif
212,"Sistem coretax lumayan membantu, tapi masih ada bug sedikit.",Netral
222,Besok mau coba akses coretax siap-siap aja deh.,Netral
226,Sistem Coretax benar-benar gampang buat wajib pajak.,Positif
232,"Sistem coretax cukup untuk dasar, mendingan daripada sistem lama.",Netral
234,Besok mau nanya soal fitur e-faktur di coretax ada yang tau caranya?,Netral
255,Jujur sistem coretax nggak susah diakses banget euy.,Positif
256,"Nilai plusnya fitur Coretax lengkap, bikin kerjaan cepet kelar.",Positif
263,"Sistem coretax lumayan lah, buat lapor bulanan.",Netral
264,hari ini lagi baca buku panduan coretax ada yang tau caranya?,Netral
265,Kenyataannya Coretax gak lancar dipake malah nambah beban.,Negatif
281,"setelah pake coretax, semoga bug nya ilang bulan depan ya min.",Netral
287,"Sistem coretax lumayan membantu, yah biasa aja sih.",Netral
288,Besok mau coba akses coretax di laptop.,Netral
290,"bikin emosi, coretax buruk sekali parah, kapan benernya sih.",Negatif
292,Wah sekarang Coretax tidak error sama sekali banget euy.,Positif
296,Jujur sistem coretax gak ribet lagi banget euy.,Positif
301,jujur sistem coretax bukan aplikasi buruk banget euy.,Positif
302,"Setelah pake Coretax, semoga makin oke demi kemudahan wajib pajak.",Netral
307,"Bagus deh fitur Coretax lengkap, gak pusing lagi ngerjain pajak.",Positif
311,Nanti malam mau nanya soal fitur e-faktur di coretax siap-siap aja deh.,Netral
313,"Bagus deh fitur Coretax lengkap, makin mantap DJP.",Positif
316,Sistem Coretax sangat sangat membantu asli keren banget.,Positif
317,Nanti malam lagi baca buku panduan coretax di laptop.,Netral
319,besok mau coba akses coretax buat nyiapin data bulan ini.,Netral
328,"Setelah pake Coretax, turut berkembang terus ya min.",Netral
330,"ampun deh, coretax buruk sekali parah, gak bisa lapor sama sekali.",Negatif
333,Hari ini mau nanya soal fitur e-faktur di coretax buat nyiapin data bulan ini.,Netral
335,Wah sekarang sistem coretax gak ribet lagi banget euy.,Positif
338,"Setelah pake Coretax, semoga makin oke untuk layanan DJP yang lebih baik.",Netral
339,Hari ini mau nanya soal fitur e-faktur di coretax di laptop.,Netral
341,"Setelah pake Coretax, turut berkembang terus supaya kita ga telat lapor.",Netral
343,Kenyataannya Coretax tidak user friendly sama sekali.,Negatif
349,kenyataannya coretax tidak user friendly malah nambah beban.,Negatif
365,"setelah pake coretax, semoga bug nya ilang bulan depan supaya kita ga telat lapor.",Netral
368,"setelah pake coretax, semoga bug nya ilang bulan depan untuk layanan djp yang lebih baik.",Netral
370,"Sistem coretax lumayan lah, yah biasa aja sih.",Netral
374,Hari ini mau coba akses coretax ada yang tau caranya?,Netral
380,"Aduh Coretax buruk sekali parah, tiap awal bulan pasti begini.",Negatif
386,Kenyataannya Coretax tidak membantu sama sekali.,Negatif
387,"Menurut saya fitur Coretax lengkap, bikin kerjaan cepet kelar.",Positif
389,"Parah bgt Coretax buruk sekali parah, gak bisa lapor sama sekali.",Negatif
390,"keren, coretax gak ribet lagi sama sekali.",Positif
396,"Sistem coretax cukup untuk dasar, tapi masih ada bug sedikit.",Netral
397,Kenyataannya Coretax tidak user friendly bagi wajib pajak.,Negatif
